generation,avg_fitness,stdev_fitness,best_fitness,avg_adjusted_fitness,mean_genetic_distance,std_genetic_distance,gen_time
41,55.1488,128.71227,539.73,0.126,2.016,0.619,3.183
42,60.4206,126.93661,539.73,0.136,2.048,0.661,3.185
43,64.9518,130.25968,539.73,0.145,2.064,0.742,3.196
44,68.5772,128.50895,539.73,0.141,1.951,0.733,3.204
45,63.7426,126.55842,539.73,0.121,2.054,0.617,3.191
46,58.745,126.16767,539.73,0.112,1.977,0.644,3.198
47,55.159,126.95456,539.73,0.106,2.078,0.696,3.196
48,57.579,127.62797,539.73,0.11,2.037,0.644,3.187
49,65.4052,127.23845,539.73,0.149,2.04,0.724,3.197
0,-18.58,9.01278,-12.39,0.75,1.161,0.453,60.009
1,-7.5182,19.37001,35.34,0.409,1.48,0.353,60.024
2,19.659,23.45699,36.51,0.771,1.552,0.356,60.015
3,20.896,23.12104,36.52,0.788,1.815,0.238,60.012
4,28.676,18.33615,36.51,0.894,1.795,0.284,60.007
5,28.4484,31.48846,146.39,0.357,1.83,0.273,60.017
6,-722.1276,5232.57163,146.39,0.977,1.923,0.307,60.019
7,-943.6892,5409.77019,146.39,0.971,1.996,0.426,60.011
8,-962.3362,5485.42132,146.39,0.971,2.198,0.324,60.015
9,23.6468,32.79242,146.39,0.331,2.419,0.466,60.014
10,33.6932,33.58693,146.39,0.385,2.291,0.601,60.01
11,23.2762,54.92728,146.39,0.713,2.073,0.656,60.028
12,-694.1406,5102.04375,146.39,0.978,1.971,0.819,60.02
13,24.9168,38.45665,146.39,0.339,2.348,0.7,60.015
14,28.9444,36.4837,146.39,0.36,2.324,0.915,60.012
15,32.0068,35.46648,146.39,0.377,2.36,0.773,60.017
16,29.0154,38.54704,146.39,0.36,2.104,0.934,60.019
17,-723.5054,5233.7574,146.39,0.977,2.021,0.898,60.007
18,-723.213,5223.59178,146.39,0.976,2.083,0.862,60.015
19,28.0078,39.07153,146.39,0.257,2.094,0.816,60.011
20,20.4734,41.5705,146.39,0.315,2.013,0.882,60.011
21,-726.222,5226.43188,199.5,0.975,2.137,0.793,60.016
22,-699.4816,5087.02256,199.5,0.975,2.249,0.794,60.019
23,-720.524,5207.72235,199.5,0.975,2.275,0.839,60.014
24,32.4,47.85787,199.5,0.294,2.201,1.003,60.052
25,-951.2044,5432.93093,199.5,0.969,2.123,1.09,60.013
26,-723.5166,5217.67414,199.5,0.975,2.175,1.035,60.016
27,24.8288,52.17129,199.5,0.262,2.221,1.028,60.008
28,42.8624,81.39955,509.63,0.115,2.137,1.054,1.743
29,35.7146,79.30064,509.63,0.095,2.205,1.076,1.74
30,42.8226,85.12064,509.63,0.113,2.194,1.054,1.743
31,32.5264,94.57387,509.63,0.412,2.283,0.961,1.735
32,27.4426,103.91266,509.63,0.491,2.299,0.972,1.746
33,38.3422,82.17651,509.63,0.102,2.291,1.032,1.738
34,17.5702,121.88281,509.63,0.554,2.316,0.981,1.74
35,-1.0278,143.64188,509.63,0.544,2.281,1.012,1.737
36,13.6012,122.40842,509.63,0.562,2.31,1.002,1.735
37,33.5422,80.94376,509.63,0.092,2.251,0.96,1.743
38,43.3604,87.91913,509.63,0.111,2.202,0.934,1.74
39,28.9494,86.43406,509.63,0.09,2.342,0.92,1.735
40,20.6104,108.9671,509.63,0.506,2.266,1.013,1.738
41,25.264,125.25038,509.63,0.575,2.21,0.946,1.732
42,31.5524,85.26804,509.63,0.094,2.218,0.901,1.735
43,17.178,117.00273,509.63,0.54,2.271,1.018,1.736
44,46.5778,86.06837,509.63,0.105,2.339,0.955,1.755
45,27.927,123.9588,509.63,0.576,2.267,0.979,1.746
46,29.743,82.43657,509.63,0.084,2.286,0.952,1.738
47,22.5006,104.64638,509.63,0.481,2.272,1.01,1.744
48,25.3306,110.38897,509.63,0.52,2.315,0.903,1.738
49,29.209,103.59906,509.63,0.488,2.341,0.861,1.748
